Universe Max Age;Universe Min Age;Universe Name;Description;Title;cloudinary key
12;11;Le palais merveilleux;Ulysse et ses compagnons arrivent sur l’île des inquiétants Cyclopes, les monstres à un œil. Comment seront-ils accueillis par ces créatures sans pitié ?Découvre cet épisode de l’Odyssée, la célèbre épopée d’Homère.;Ulysse chez les Cyclopes;production/stories/ulysse-chez-les-cyclopes/cover
11;10;L'île mystérieuse;De retour de la guerre de Troie, Ulysse accoste chez les Phéaciens. Il leur conte ses différentes aventures : vents d’Éole, cruelle Circé et chant des Sirènes… Découvre ce palpitant récit des premières aventures d’Ulysse, extrait de la célèbre Odyssée d’Homère.;L’Odyssée I;production/stories/l-odyssee-i/as_cover/gotxvcdxbp9355hy4ekbiusi8fae
11;10;L'île mystérieuse;Après avoir échappé à de nombreux dangers, Ulysse va enfin rentrer chez lui. Sa femme Pénélope le reconnaîtra-t-elle ? Découvre la fin de cette trépidante épopée qu’est L’Odyssée.;L’Odyssée II;production/stories/l-odyssee-ii/as_cover/cxzv1lrvlp8dfbnzgtom9h6jkp23
10;9;La chaumière perdue;Pars faire le tour du monde avec Phileas Fogg et Passepartout, et plonge au cœur d’une intrigue policière pleine de surprises, grâce à ce chef-d’œuvre de Jules Verne !;Le Tour du monde en 80 jours I;production/stories/le-tour-du-monde-en-80-jours-i/cover
10;9;La chaumière perdue;Voici la suite trépidante du tour du monde de Phileas Fogg. Gagnera-t-il son pari ? Sera-t-il rattrapé par le tenace inspecteur Fix ? Est-il vraiment le voleur qu’il recherche ?;Le Tour du monde en 80 jours II;production/stories/le-tour-du-monde-en-80-jours-ii/cover
11;10;L'île mystérieuse;En 1659, le bateau de Robinson Crusoe fait naufrage. Seul rescapé, il se retrouve sur une île déserte… Mais est-elle si déserte que cela ?Découvre cette célèbre aventure de Daniel Defoe.;Robinson Crusoe, seul au monde ?;production/stories/robinson-crusoe-seul-au-monde/as_cover/jpizhjeiv1o3gawcwgjwbfpy9w0s
9;8;La forêt enchantée;En route pour rejoindre les siens, à bord d'un radeau de fortune, Ulysse part en mer, mais est-il pour autant sûr d’arriver à bon port ? La mer n'est-elle pas pleine de dangers ? Découvre cet extrait trépidant de l’Odyssée !;Ulysse en pleine tempête;production/stories/ulysse-en-pleine-tempete/cover
10;9;La chaumière perdue;Un super-méchant menace la ville. Aucun super-héros ne parvient à l’anéantir. Tom et Lola réussiront-ils à venir à bout de ce vilain et à sauver la nature menacée ?;Mission écologie;production/stories/mission-ecologie/as_cover/6uazh7g6ftv9yzqb8vdxldel95fl
9;8;La forêt enchantée;En 1659, le bateau de Robinson Crusoe fait naufrage. Seul rescapé, il se retrouve sur une île déserte… Mais est-elle si déserte que cela ?Découvre cette célèbre aventure de Daniel Defoe.;Robinson et Vendredi;production/stories/robinson-et-vendredi/as_cover/urwitd6zic6w1m9214wz3j4w1fia
11;10;L'île mystérieuse;La petite sirène est fascinée par ce monde inconnu qui l’attire : celui des humains. Une aventure qui la conduira à bien des sacrifices…Un conte d’Andersen de 1837.;La Petite Sirène;production/stories/la-petite-sirene/cover
